2025-09-17 20:34:06.130 | INFO     | 喜马拉雅.dp.main:<module>:27 - 浏览器对象创建完成
2025-09-17 20:34:06.132 | INFO     | save_to_db:init_database:88 - 数据库初始化完成
2025-09-17 20:34:06.132 | INFO     | __main__:<module>:15 - 初始化数据库
2025-09-17 20:34:18.336 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-11', 'createDate': '2021-03-12', 'anchorUid': 10778196, 'playCount': 9870580494, 'albumTitle': '大奉打更人丨头陀渊领衔多人有声剧|畅听全集|王鹤棣、田曦薇主演影视剧原著|卖报小郎君', 'anchorName': '头陀渊讲故事', 'fansCount': 15637100, 'commentCount': 0, 'trackCount': 1754, 'albumId': 47517749}
2025-09-17 20:34:19.822 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 47517749 章节稍后补爬
2025-09-17 20:34:24.733 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-06-25', 'createDate': '2022-09-20', 'anchorUid': 407193654, 'playCount': 3468629774, 'albumTitle': '大秦：不装了，你爹我是秦始皇丨全本免费丨爆笑穿越丨伍壹剧社多人剧|赵家继承人秦朝', 'anchorName': '伍壹剧社', 'fansCount': 1871734, 'commentCount': 0, 'trackCount': 1568, 'albumId': 71143288}
2025-09-17 20:34:26.180 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 71143288 章节稍后补爬
2025-09-17 20:34:31.112 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-11', 'createDate': '2015-06-11', 'anchorUid': 2342717, 'playCount': 3007924356, 'albumTitle': '雪中悍刀行【大斌&免费有声小说】 第一季', 'anchorName': '大斌', 'fansCount': 9964908, 'commentCount': 0, 'trackCount': 881, 'albumId': 2684034}
2025-09-17 20:34:32.572 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 2684034 章节稍后补爬
2025-09-17 20:34:37.636 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-27', 'createDate': '2024-04-22', 'anchorUid': 40084802, 'playCount': 1092354543, 'albumTitle': '无敌六皇子|爆笑穿越|无敌流皇子|安燃领衔VIP免费有声小说', 'anchorName': '安燃', 'fansCount': 3140507, 'commentCount': 0, 'trackCount': 2234, 'albumId': 81485463}
2025-09-17 20:34:39.089 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 81485463 章节稍后补爬
2025-09-17 20:34:44.102 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2024-10-21', 'anchorUid': 40084802, 'playCount': 443732539, 'albumTitle': '逍遥四公子 | 架空历史&爆笑老四 | 安燃领衔VIP免费穿越有声小说逍遥子公子', 'anchorName': '安燃', 'fansCount': 3140507, 'commentCount': 0, 'trackCount': 2163, 'albumId': 84108214}
2025-09-17 20:34:45.597 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 84108214 章节稍后补爬
2025-09-17 20:34:50.579 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-03-03', 'createDate': '2020-05-20', 'anchorUid': 33176394, 'playCount': 1552413669, 'albumTitle': '庆余年 | 全3季无删改听过瘾 | CV全明星配音 | 作家猫腻点赞 | 同名影视原著小说', 'anchorName': '梁小渔Yilia', 'fansCount': 3098615, 'commentCount': 0, 'trackCount': 1490, 'albumId': 38160002}
2025-09-17 20:34:52.075 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 38160002 章节稍后补爬
2025-09-17 20:34:57.133 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-26', 'createDate': '2022-08-02', 'anchorUid': 2342717, 'playCount': 1390537084, 'albumTitle': '不让江山 ｜大斌｜架空历史&热血江湖多人有声剧', 'anchorName': '大斌', 'fansCount': 9964910, 'commentCount': 0, 'trackCount': 2361, 'albumId': 70003682}
2025-09-17 20:34:58.615 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 70003682 章节稍后补爬
2025-09-17 20:35:03.675 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-01-27', 'createDate': '2020-04-21', 'anchorUid': 70741939, 'playCount': 1099960496, 'albumTitle': '雪中悍刀行|张若昀李庚希主演电视剧|有声剧|声之优|经典武侠', 'anchorName': '雷哥声之优', 'fansCount': 4145266, 'commentCount': 0, 'trackCount': 1371, 'albumId': 37081450}
2025-09-17 20:35:05.194 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 37081450 章节稍后补爬
2025-09-17 20:35:10.230 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-07-15', 'anchorUid': 40084802, 'playCount': 18528378, 'albumTitle': '明颂|明朝败家子|安燃多播精品重制版| 穿越大明历史VIP免费有声小说', 'anchorName': '安燃', 'fansCount': 3140507, 'commentCount': 0, 'trackCount': 566, 'albumId': 97596320}
2025-09-17 20:35:11.723 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 97596320 章节稍后补爬
2025-09-17 20:35:16.738 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2018-11-14', 'anchorUid': 1266964, 'playCount': 1739793540, 'albumTitle': '明朝败家子 | 爆笑 | 没羞没臊的败家生活 | 多人有声剧', 'anchorName': '有声的紫襟', 'fansCount': 27678496, 'commentCount': 0, 'trackCount': 1813, 'albumId': 19326274}
2025-09-17 20:35:18.189 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 19326274 章节稍后补爬
2025-09-17 20:35:23.169 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-07-17', 'anchorUid': 108979463, 'playCount': 19864217, 'albumTitle': '瞎子捉刀人：开局满级九阳神功|历史穿越|热血爽文|轻松快节奏|VIP多人有声剧', 'anchorName': '夏日的星星_', 'fansCount': 219587, 'commentCount': 0, 'trackCount': 720, 'albumId': 97947415}
2025-09-17 20:35:24.614 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 97947415 章节稍后补爬
2025-09-17 20:35:29.522 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-03-19', 'createDate': '2023-02-02', 'anchorUid': 2342717, 'playCount': 1005930530, 'albumTitle': '南宋第一卧底 | 大宋第一狠活&穿越权谋&大斌多人剧', 'anchorName': '大斌', 'fansCount': 9964910, 'commentCount': 0, 'trackCount': 3585, 'albumId': 74119541}
2025-09-17 20:35:30.957 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 74119541 章节稍后补爬
2025-09-17 20:35:35.932 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-03-05', 'createDate': '2021-12-24', 'anchorUid': 35310389, 'playCount': 211189679, 'albumTitle': '绍宋|起点穿越历史霸榜作品| VIP免费多人有声', 'anchorName': '伍壹先生', 'fansCount': 2306273, 'commentCount': 0, 'trackCount': 1088, 'albumId': 55815623}
2025-09-17 20:35:37.374 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 55815623 章节稍后补爬
2025-09-17 20:35:42.392 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-28', 'createDate': '2023-02-28', 'anchorUid': 70741939, 'playCount': 337383946, 'albumTitle': '唐砖 | 孑与2 | 同名电视剧原著 | 声之优 | 爆笑穿越历史 | 多人有声剧', 'anchorName': '雷哥声之优', 'fansCount': 4145266, 'commentCount': 0, 'trackCount': 1838, 'albumId': 74643892}
2025-09-17 20:35:43.843 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 74643892 章节稍后补爬
2025-09-17 20:35:48.959 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-15', 'createDate': '2023-05-24', 'anchorUid': 1266964, 'playCount': 1089742394, 'albumTitle': '大乾憨婿丨历史爆笑爽文丨多人有声剧丨紫襟监制', 'anchorName': '有声的紫襟', 'fansCount': 27678498, 'commentCount': 0, 'trackCount': 2421, 'albumId': 76176854}
2025-09-17 20:35:50.388 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 76176854 章节稍后补爬
2025-09-17 20:35:55.333 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-24', 'createDate': '2022-01-24', 'anchorUid': 10778196, 'playCount': 1174614645, 'albumTitle': '偷香高手丨头陀渊工作室丨搞笑多人有声剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15637101, 'commentCount': 0, 'trackCount': 2989, 'albumId': 56603093}
2025-09-17 20:35:56.868 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 56603093 章节稍后补爬
2025-09-17 20:36:01.903 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-09', 'createDate': '2015-12-26', 'anchorUid': 12648317, 'playCount': 1543683483, 'albumTitle': '赘婿丨郭麒麟&宋轶主演影视原著丨多人精品有声剧丨VIP免费', 'anchorName': '雅居讲故事', 'fansCount': 3506157, 'commentCount': 0, 'trackCount': 1548, 'albumId': 3416829}
2025-09-17 20:36:03.339 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 3416829 章节稍后补爬
