大类,二级分类,章节,题目类型,题目标题,【选择题】选项A,【选择题】选项B,【选择题】选项C,【选择题】选项D,【选择题】选项E,【选择题】选项F,正确答案,题目难度,解析
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,使用UltraEdit软件查看字符内码，部分界面如下图所示。下列说法不正确的是（  ）,"<p>图中共有7个ASCII码字符</p>
","<p>图中字符&ldquo;！&rdquo;的内码为&ldquo;A3A1&rdquo;</p>
","<p>字母&ldquo;g&rdquo;的内码转换为十进制为<span style=""font-size:10.5pt""><span style=""font-family:Calibri""><span style=""font-size:12.0000pt""><span style=""font-family:宋体"">6&times;16</span></span><sup><span style=""font-size:12.0000pt""><span style=""font-family:宋体""><span style=""vertical-align:super"">2</span></span></span></sup><span style=""font-size:12.0000pt""><span style=""font-family:宋体"">+7&times;16</span></span><sup><span style=""font-size:12.0000pt""><span style=""font-family:宋体""><span style=""vertical-align:super"">1</span></span></span></sup></span></span></p>
","<p>图中字符&ldquo;o&rdquo;、&ldquo;G&rdquo;和&ldquo;2&rdquo;的内码值依次从大到小</p>
",,,['C'],0,"<p>本题考察的是计算机编码的相关知识，在使用UitraEdit软件查看字符内码时，得到的是十六进制数全角字符如同汉字占用两个字节，半角字符占用一个字节(即ASCII码)</p><p>对应关系如下图所示：</p><p><img alt="""" src=""https://static.dingkao.cn/202501/7ec75fd2c31e1c30/a825e85483429fd0.png"" style=""max-width:100%;border:0"" /></p><p>图里占一个字节的就是ASCII码，共7个，A正确<br />题目的！是全角符号，占两个字节，即A3A1，B正确<br />数字 0 - 9 的 ASCII 码十六进制范围是 30 - 39，大写字母 A - Z 的 ASCII 码十六进制范围是 41 - 5A，小写字母 a - z 的 ASCII 码十六进制范围是 61 - 7A，D正确</p><p>十六进制数的转换规则错误，应该是从最低位（最右边）开始，每一位的权值是16的N次方，其中N从0开始递增所以字母&ldquo;g&rdquo;的内码转换为十进制为<img alt="""" src=""https://static.dingkao.cn/202501/8529838dce3ee50b/3b2a90c43c97bc86.png"" style=""max-width: 100%; border: 0px; width: 100px; height: 25px;"" />。</p><p>故C错误，选C</p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,数据是对事物属性的客观记录，是（    ）的载体和具体的表现形式。,数据,信息,知识,信息技术,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,2022年北京冬季奥运会圆满结束，这不仅是一场体育盛会，也是一场文化盛宴、科技盛会。从充满文化韵味的“二十四节气”倒计时，到脱胎于篆刻、书法的冬奥标识；从创意源于西汉长信宫灯的冬奥会火炬接力火种灯，到取自《千里江山图》的冰场挡板图案，从展现文明交流交融的“黄河之水”，到最终幻化成“冰雪五环”……中华文化与奥运文化、冰雪元素完美融合，闪耀冬奥舞台，写下文明交流互鉴的新篇章。通过统计分析海量网民在网上行为数据，百度发布《百度热搜·北京冬奥会大数据》，以此了解人们对北京冬奥会的关注热度。说明大数据时代强调（    ）,寻找事物之间的因果关系，而不是相关关系,追求数据的精确性，而不是模糊性,要分析的是全体数据，而不是抽样数据,数据价值密度的高低与数据总量的大小成正比关系,,,['C'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,关于大数据和大数据处理，下列说法不正确的是（    ）,大数据的特征是数据量大、速度快、数据类型多、价值密度低,大数据分析的是抽样数据，让决策更精准,处理大数据时一般采用分治思想,道路交通中实时产生的数据属于流数据,,,['B'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列十进制数与二进制100000等值的是（     ）,"<p>30</p>
","<p>31</p>
","<p>32</p>
","<p>33</p>
",,,['C'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202412/fd2f4676a5c6b940/0c02b997f4c3a25e.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列有关大数据及其处理的说法，错误的是（     ）,"<p>大数据的四个特征：数据规模大、处理速度快、数据类型多、价值密度低</p>
","<p>对大数据进行处理时，必须保证每个数据都准确无误</p>
","<p>批处理计算适合处理静态数据</p>
","<p>流计算适合处理实时更新的数据</p>
",,,['B'],0,<p>对大数据进行处理时，无需保证每个数据都准确无误，故选项B说法错误</p>
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,使用UltaEdit软件查看字符内码，部分界面如图所示。下列说法正确的是（　　）,"<p>字符&ldquo;H&rdquo;的十六进制内码值是4CH</p>
","<p>字符&ldquo;J&rdquo;内码值的二进制表示为01001010B</p>
","<p>&ldquo;冬奥会@&rdquo;这些字符的内码共8个字节</p>
","<p>字符&ldquo;2&rdquo;内码值的十进制表示为2</p>
",,,['B'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202503/139ccc9373aa43af/6eac42c6edea9cca.jpg"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,在课堂上，老师组织学生们玩解密游戏，游戏规则是将26个字母编码成二进制数字，通过手电筒光线的闪烁来传递信号，为了使游戏顺利进行，老师最少需要（    ）二进制来对字母进行编码。,3位,4位,5位,6位,,,['C'],0,"<p><img alt="""" src=""https://static.dingkao.cn/202501/ce3927999769fc73/b2db5fbddc70f5bd.png"" style=""max-width:100%;border:0"" /></p>"
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列关于数据、信息、知识的说法正确的是（    ）,信息的储存和传播不一定要依附于某种载体,通过搜索引擎的检索可以获得海量的知识,信息是数据解释后产生的意义,信息是对客观事物的符号表示,,,['C'],0,
职业适应性测试,信息技术必修一,第一章 数据与信息,单选题,下列有关数据与信息的说法正确的是（    ）,信息可用数字信号来表达，数字信号是以连续变化的物理量存在,数据只能用数字或文字来表示,同一信息对于不同的人群，其价值相同,信息必须经过数字化之后才能被计算机进行存储和处理,,,['D'],0,
