公司,路径1,路径2,路径3,最终实际控制人
嘉兴联翔企业管理咨询合伙企业(有限合伙),嘉兴联翔企业管理咨询合伙企业(有限合伙),,,卜晓华
中信建投投资有限公司,中信建投投资有限公司,,,李旭东
国信资本有限责任公司,国信资本有限责任公司,,,陈华
湖南高创环宇创业投资合伙企业(有限合伙),湖南高创环宇创业投资合伙企业(有限合伙),湖南高新纵横资产经营有限公司,,章涛
新余瑞田管理咨询中心(有限合伙),新余瑞田管理咨询中心(有限合伙),,,高登华
东莞市微笑管理咨询合伙企业(有限合伙),东莞市微笑管理咨询合伙企业(有限合伙),,,谢云
重庆同为企业管理中心(有限合伙),重庆同为企业管理中心(有限合伙),,,胡云平
宁波梅山保税港区释天创业投资合伙企业(有限合伙),宁波梅山保税港区释天创业投资合伙企业(有限合伙),,,陈琳
广州大昊企业管理咨询合伙企业(有限合伙),广州大昊企业管理咨询合伙企业(有限合伙),,,陈琳
广州高丛企业管理咨询合伙企业(有限合伙),广州高丛企业管理咨询合伙企业(有限合伙),,,姚志强
广州和德企业管理咨询合伙企业(有限合伙),广州和德企业管理咨询合伙企业(有限合伙),,,易敏
广州吕申企业管理咨询合伙企业(有限合伙),广州吕申企业管理咨询合伙企业(有限合伙),,,姚志强
珠海瑞昇投资合伙企业(有限合伙),珠海瑞昇投资合伙企业(有限合伙),宏迅创建有限公司,宏迅创建有限公司,宏迅创建有限公司
深圳惠和投资有限公司,深圳惠和投资有限公司,,,李贺梓
中国中金财富证券有限公司,中国中金财富证券有限公司,,,王建力
上海莘导企业管理有限公司,上海莘导企业管理有限公司,,,欧新华
上海萃慧企业管理服务中心(有限合伙),上海萃慧企业管理服务中心(有限合伙),,,欧新华
中信建投投资有限公司,中信建投投资有限公司,,,李旭东
深圳南山架桥卓越智能装备投资合伙企业(有限合伙),深圳南山架桥卓越智能装备投资合伙企业(有限合伙),深圳市架桥富凯私募创业投资基金管理有限公司,,徐波
深圳市前海鹏晨创智投资管理企业(有限合伙),深圳市前海鹏晨创智投资管理企业(有限合伙),深圳市前海鹏晨德润投资合伙企业（有限合伙）,深圳市前海鹏晨投资管理有限公司,董玮
兴证证券资管-兴业银行-兴证资管鑫众汇成真空1号员工战略配售集合资产管理计划,兴证证券资管-兴业银行-兴证资管鑫众汇成真空1号员工战略配售集合资产管理计划,,,陈怀宇
西藏佳得加企业管理有限公司,西藏佳得加企业管理有限公司,,,肖俊承
深圳市宁濛瑞投资有限公司,深圳市宁濛瑞投资有限公司,,,罗腾子
深圳市前海鹏晨源拓投资企业(有限合伙),深圳市前海鹏晨源拓投资企业(有限合伙),深圳市前海鹏晨德润投资合伙企业（有限合伙）,深圳市前海鹏晨投资管理有限公司,董玮
上海东方证券创新投资有限公司,上海东方证券创新投资有限公司,,,金兆强
深圳和而泰智能控制股份有限公司,深圳和而泰智能控制股份有限公司,,,刘建伟
中国兵器装备集团有限公司,中国兵器装备集团有限公司,,,许宪平
南方工业资产管理有限责任公司,南方工业资产管理有限责任公司,,,肖勇
中钢科技发展有限公司,中钢科技发展有限公司,,,姜宁
中国冶金科技成果转化有限公司,中国冶金科技成果转化有限公司,,,姜宁
洛阳洛耐创拾投资管理中心(有限合伙),洛阳洛耐创拾投资管理中心(有限合伙),,,王文武
洛阳洛耐创捌投资管理中心(有限合伙),洛阳洛耐创捌投资管理中心(有限合伙),,,王战民
洛阳洛耐创玖投资管理中心(有限合伙),洛阳洛耐创玖投资管理中心(有限合伙),,,洛阳洛耐创玖投资管理中心(有限合伙)
洛阳洛耐创贰投资管理中心(有限合伙),洛阳洛耐创贰投资管理中心(有限合伙),,,耿可明
洛阳洛耐创肆投资管理中心(有限合伙),洛阳洛耐创肆投资管理中心(有限合伙),,,张利新
洛阳洛耐创伍投资管理中心(有限合伙),洛阳洛耐创伍投资管理中心(有限合伙),,,洛阳洛耐创伍投资管理中心(有限合伙)
洛阳洛耐创叁投资管理中心(有限合伙),洛阳洛耐创叁投资管理中心(有限合伙),,,李占江
洛阳洛耐创壹投资管理中心(有限合伙),洛阳洛耐创壹投资管理中心(有限合伙),,,薄钧
洛阳洛耐创拾壹投资管理中心(有限合伙),洛阳洛耐创拾壹投资管理中心(有限合伙),,,李丹
洛阳洛耐创陆投资管理中心(有限合伙),洛阳洛耐创陆投资管理中心(有限合伙),,,吴波
洛阳洛耐创柒投资管理中心(有限合伙),洛阳洛耐创柒投资管理中心(有限合伙),,,洛阳洛耐创柒投资管理中心(有限合伙)
民生证券投资有限公司,民生证券投资有限公司,,,任凯锋
巢湖旗山中智创业投资管理有限公司,巢湖旗山中智创业投资管理有限公司,,,肖国庆
中国中金财富证券有限公司,中国中金财富证券有限公司,,,王建力
宁波镇海金塑股权投资管理合伙企业(有限合伙),宁波镇海金塑股权投资管理合伙企业(有限合伙),,,王熊
宁波镇海金模股权投资管理合伙企业(有限合伙),宁波镇海金模股权投资管理合伙企业(有限合伙),,,王熊
南京腾亚实业集团有限公司,南京腾亚实业集团有限公司,,,孙德斌
南京运航创业投资中心(有限合伙),南京运航创业投资中心(有限合伙),,,乐清勇
南京倚峰企业管理有限公司,南京倚峰企业管理有限公司,,,马姝芳
清控创业投资有限公司,清控创业投资有限公司,,,郑成武
