笔记id,作品类型,作者,发布时间,喜欢,收藏,评论,详情,标题,笔记链接,作者地址,图片链接
61e8dde8000000000102c7dd,note,般若,2022-01-20,6879,1008,4143,,时日无多，到底要不要跟妈妈说实话?,https://www.xiaohongshu.com/explore/61e8dde8000000000102c7dd?xsec_token=AB06zFB1F_GMUry7u6OUsGmij__M3lR1K3kbBbpn0NA9I=&xsec_source=pc_search&source=unknown,IP属地：湖北,http://sns-webpic-qc.xhscdn.com/202508111358/a28000f36d2eb31ca0948c4f031431e8/01021k016jlygl34426010po0tydu12b6n!nc_n_webp_mw_1
620a8f14000000000102b4b6,note,拥抱的夏日,2022-02-15,6375,5078,854,,关于妈妈的病，我最后悔的事,https://www.xiaohongshu.com/explore/620a8f14000000000102b4b6?xsec_token=ABsAyXSjy-25HlfuRWGkMVwR5sXQYEU0xdGLDkWR9wxNA=&xsec_source=pc_search&source=unknown,IP属地：黑龙江,"http://sns-webpic-qc.xhscdn.com/202508111358/75bfbb2ebbfa7320091a7aac31b59571/01022f016el95c9rtme0102txmn0kqeuir!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/bc9c710b14a70673c399af93251172bb/01022f016el95c9rtme0102txmn1zd7htw!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/7537b7369955bd8cf02cc00ef07528cc/01022f016el95c9rtme0102txmn2n04tf0!nc_n_webp_mw_1"
66e807c80000000012010f59,note,糖糖的好好生活日记,06-17,2425,2033,350,,陪父母抗癌15个月， 我都学到了什么？,https://www.xiaohongshu.com/explore/66e807c80000000012010f59?xsec_token=AB-VebhyPCPfdsqy6bznBokrqcjMOTJups-jRti-oQack=&xsec_source=pc_search&source=unknown,IP属地：北京,"http://sns-webpic-qc.xhscdn.com/202508111358/3366df5f60a93309588328e86e4710bf/1040g00831bkrc2b1120048hcv2j2kl4v6lapns8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/f87e14e7a28349523e7045cadcee2d61/1040g2sg317q9sc230o7g48hcv2j2kl4vbql837o!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/bd4555a8a6562e3ce55e5060432aef6b/1040g2sg317q9sc230o8048hcv2j2kl4vbt5kgeg!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/ea28f5be979ac9c6d14485659c427507/1040g2sg317q9sc230o8g48hcv2j2kl4vkmtjv78!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/44af4ddb4384214eb317236f84e5dd19/1040g2sg317q9sc230o9048hcv2j2kl4vfmq63j8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/2266b6e7f2713968ddca8773a2266fe6/1040g2sg317q9sc230o9g48hcv2j2kl4v4coj430!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/04a8eb7e40da9f808b3366ab353a6f0d/1040g2sg317q9sc230oa048hcv2j2kl4vfrd0spg!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/b6d61949a30487f941fb285bb77a650d/1040g2sg317q9sc230oag48hcv2j2kl4v8eci19o!nc_n_webp_mw_1"
6863e064000000001202d281,note,落落,07-01,1201,465,948,,,https://www.xiaohongshu.com/explore/6863e064000000001202d281?xsec_token=ABEMfT9K1Fca5eRhDZdVprZje5YNZMeH_ucRvTiWsomD0=&xsec_source=pc_search&source=unknown,IP属地：广东,http://sns-webpic-qc.xhscdn.com/202508111358/8fb8e354a143e096792bdf8afb471d48/1040g00831jd7a3lm32705n88upllm2257qd7klo!nc_n_webp_mw_1
67dd1cc4000000001d01c035,note,Xmin,04-18,1017,1159,461,,68岁爸爸肺癌确诊，熬过的第三年,https://www.xiaohongshu.com/explore/67dd1cc4000000001d01c035?xsec_token=AB0wHAI3fGSaRJqTO3-E5SWShIQWUCvYOlEhK2JQ9ZC1Q=&xsec_source=pc_search&source=unknown,IP属地：江苏,http://sns-webpic-qc.xhscdn.com/202508111358/03ca2522718c29d9804c36bd6a77bd28/1040g00831f9k05sr70005pofgt2necjbrrgh2t0!nc_n_webp_mw_1
686ce29c000000000b01cb2d,note,自强不息,07-08,1004,345,2052,,,https://www.xiaohongshu.com/explore/686ce29c000000000b01cb2d?xsec_token=ABJGN63b9NHAOxI05HpLmmF5AUdyYPk70QWjNrLJCsNZ4=&xsec_source=pc_search&source=unknown,IP属地：广西,http://sns-webpic-qc.xhscdn.com/202508111358/e774f0a5c867f4780aeb0896bf680bbc/1040g00831jm0t0nujq005pv2iktji8a3kg0sbs8!nc_n_webp_mw_1
67b07cb8000000001703933d,note,momo,03-14,987,803,1659,,,https://www.xiaohongshu.com/explore/67b07cb8000000001703933d?xsec_token=ABBYt2UEV8Mkk7s5ihmlLsgPkyY04Qg9OzOLXHOsVwJ5s=&xsec_source=pc_search&source=unknown,IP属地：湖南,http://sns-webpic-qc.xhscdn.com/202508111358/f5298913162ca97dad349647efd5e030/1040g2sg31du1f03q0mdg5po0sbo7c9u3d4cscog!nc_n_webp_mw_1
6898412d000000000403db06,note,肿瘤科主任,昨天 14:50,1156,1594,382,,10分钟可灭瘤，不开刀不麻醉，全程没痛感,https://www.xiaohongshu.com/explore/6898412d000000000403db06?xsec_token=ABZVFH-g5vopu6bXHd9vD8_JrEe8lNQCMj2GjI4KIaMGw=&xsec_source=pc_search&source=unknown,IP属地：广东,http://sns-webpic-qc.xhscdn.com/202508111358/7fdeb9b77e408c93db2b855fa3f1fef2/spectrum/1040g34o31l0bgma4kk0g5puuk6n5vsuedcro350!nc_n_webp_mw_1
684aa8ff000000000303deff,note,小雅碎碎念,06-12,921,1193,36,,得了癌症，这些救命钱一定要去领,https://www.xiaohongshu.com/explore/684aa8ff000000000303deff?xsec_token=ABOXDknvDLKTr_LpcMKo_oAKNtmn0EREmllg3zkqu75hw=&xsec_source=pc_search&source=unknown,无,"http://sns-webpic-qc.xhscdn.com/202508111358/481f27830e497b87d0f8e95cf070766a/notes_pre_post/1040g3k831ikjbtji0ckg5pjmidfgu6uietovdoo!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/1cee43bbfe477915bc4af6de2465c1ae/notes_pre_post/1040g3k031ikjbtovge605pjmidfgu6ui3nkptqo!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/d131afd8f97a58c7a5257de6ba05d81f/notes_pre_post/1040g3k831ikjbtjig26g5pjmidfgu6uigcg6qv0!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/d1b3f9c86ec85d0bce6a85a80eeeac01/notes_pre_post/1040g3k831ikjbtjhga505pjmidfgu6ui36g26po!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/7f7de480aa0b6b068391a08584dd0ae4/notes_pre_post/1040g3k831ikjbtjhg86g5pjmidfgu6ui3kl3if8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111358/ffdc2d39ff4c55ca6f018b63ab168849/notes_pre_post/1040g3k831ikjbtjhg2rg5pjmidfgu6uib3fu478!nc_n_webp_mw_1"
688719c3000000001301066f,note,雪儿医谈,07-28,881,225,870,,癌症晚期的妈妈,https://www.xiaohongshu.com/explore/688719c3000000001301066f?xsec_token=ABTpxtng31sYHmAUKmF9oDUA4pUl66yvlwgMgexTnYV2g=&xsec_source=pc_search&source=unknown,IP属地：广东,http://sns-webpic-qc.xhscdn.com/202508111358/22761c8c47b9b8952a1d2436fc49eeb0/1040g2sg31kff36i7j0g05q3gobin9epvtcap3io!nc_n_webp_mw_1
