笔记id,作品类型,作者,发布时间,喜欢,收藏,评论,详情,标题,笔记链接,作者地址,图片链接
682d3cf900000000210073c7,note,杨大开门嘞,05-21,26336,2274,624,,,https://www.xiaohongshu.com/explore/682d3cf900000000210073c7?xsec_token=ABccsox4HLs8tFh5vKH078vjFnyKRGUaiXXlutpjhHPNw=&xsec_source=pc_search&source=unknown,IP属地：福建,http://sns-webpic-qc.xhscdn.com/202508111420/4cfbfe286944dcb093b956eb8d0c338d/1040g00831hnrtk14ju005pugceuj99mac6jbet8!nc_n_webp_mw_1
683828cf000000002300e362,note,纯情辣妹海苔碎,06-01,1489,76,199,,不希望的倒计时(8),https://www.xiaohongshu.com/explore/683828cf000000002300e362?xsec_token=ABnp4kymolDd2DS4-eQluO4O2YSIwiA7wch9yn025pxD8=&xsec_source=pc_search&source=unknown,无,"http://sns-webpic-qc.xhscdn.com/202508111420/a17ffd47933738ac2b73a014ed34d2ec/notes_pre_post/1040g3k831i2gidi8mmn05omdeq4gg4mdpv3jtoo!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/1ee347d9c3c6dc9c93700d70bf9e446a/notes_pre_post/1040g3k831i2gidi8mmng5omdeq4gg4mdebr9vt8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/bffc49cb0fe4d4c05551f6bcbd8e833c/notes_pre_post/1040g3k831i2gidi8mmo05omdeq4gg4mdufo5or0!nc_n_webp_mw_1"
6848c3470000000022035af2,note,纯情辣妹海苔碎,06-11,1452,182,659,,不希望的倒计时(10）,https://www.xiaohongshu.com/explore/6848c3470000000022035af2?xsec_token=ABlW9BsqVOa3xetuQz7fsDSSMAlswk81Fi4O3kC1v0ZzM=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/3451cd70142c8e1079c66f3ab1b84a82/1040g00831iinopv2nm705omdeq4gg4mdecnbu4g!nc_n_webp_mw_1
68255874000000002202e1ca,note,纯情辣妹海苔碎,05-15,1173,150,481,,不希望的倒计时(6),https://www.xiaohongshu.com/explore/68255874000000002202e1ca?xsec_token=ABCmdmd0TCuX1kmjnXl0itPkswCuKSip8W6k9QSGEisbw=&xsec_source=pc_search&source=unknown,无,"http://sns-webpic-qc.xhscdn.com/202508111420/5f7cc0235cd131149dc841c43c76e455/1040g2sg31hg598jt4qe05omdeq4gg4md5t78q10!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/db72be1d09dd17f0d094469bd35caa9a/1040g2sg31hg598jt4qeg5omdeq4gg4md7es4lvg!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/c051549b0f57869bf9e872af0e773a72/1040g2sg31hg598jt4qf05omdeq4gg4md6ims5mo!nc_n_webp_mw_1"
6870b7fd000000001c035660,note,江海余生,07-11,770,53,1015,,生命要进入倒计时了,https://www.xiaohongshu.com/explore/6870b7fd000000001c035660?xsec_token=ABM7c2VaLX5-o5nWTFbYlvxpLOQoBnUyaVYw8diD53P8M=&xsec_source=pc_search&source=unknown,IP属地：广东,"http://sns-webpic-qc.xhscdn.com/202508111420/ad3c8c732940c54971c43232849fcf55/notes_pre_post/1040g3k031jpoi5ir2o5g5o0o3mj095k3g7tgro0!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/54a4426427a63937056006f95bec4351/notes_pre_post/1040g3k031jpoi5ir2o6g5o0o3mj095k30kgt52o!nc_n_webp_mw_1"
68183bd40000000012007872,note,许爸爸长命百岁版,05-05,635,344,36,,当生命进入倒计时，6件事让我们赢得3年,https://www.xiaohongshu.com/explore/68183bd40000000012007872?xsec_token=ABovWP7lq0C9pRNOpg95dw0gj4xbMBLAxQj0TLe5N9W6c=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/af3c77eafdff5c59fa581e0b76d289cb/1040g00831h3bghdnju6g5pf53c7h96dhtjetr08!nc_n_webp_mw_1
6881fbe40000000022033d59,note,向日葵（抗癌版）,07-24,404,58,132,,确诊癌症前｜倒计时第一天,https://www.xiaohongshu.com/explore/6881fbe40000000022033d59?xsec_token=ABew9-lYOraT_8-hxe7FLIKi1HwwyW2U0FEZNve_20CzU=&xsec_source=pc_search&source=unknown,IP属地：北京,http://sns-webpic-qc.xhscdn.com/202508111420/79c26074435578840016e8d35e3484b4/spectrum/1040g0k031kak1l0cj6005pgq8pr2uam3ed0s2o8!nc_n_webp_mw_1
684997dc0000000012006e7e,note,风儿轻轻吹,06-11,322,77,302,,生命进入倒计时,https://www.xiaohongshu.com/explore/684997dc0000000012006e7e?xsec_token=ABp58ftLBhfyi6xx9IUokTV8pB0leBsD2K7XSCIICvoNE=&xsec_source=pc_search&source=unknown,IP属地：浙江,"http://sns-webpic-qc.xhscdn.com/202508111420/315ea9787368048c7a57c44cf8ed8b7b/notes_pre_post/1040g3k031iji11bn0e005p0ujk5kid0c69ogus8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/38d76e3ab234b9e6a73cdcd7a31a37a3/notes_pre_post/1040g3k831iji11fu0e005p0ujk5kid0cilvpp30!nc_n_webp_mw_1"
686f57f2000000002400b8e3,note,菲菲,07-10,119,41,153,,生命倒计时730天,https://www.xiaohongshu.com/explore/686f57f2000000002400b8e3?xsec_token=ABZ6hYmNylxuq25JC7TRyDHy-xSuA_rXU0KAo6I0nTWL8=&xsec_source=pc_search&source=unknown,IP属地：湖北,"http://sns-webpic-qc.xhscdn.com/202508111420/02081fdc9143c3c520d5454700abfc2b/notes_pre_post/1040g3k831jodhkfsj00g47oshmcearkgs04nn50!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/e15fb33c02730dc3d4b0ce2544d2e3e5/notes_pre_post/1040g3k831jodhkfsj01047oshmcearkgrrdqo5o!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/5e77b70af145e974907906f063b0aef4/notes_pre_post/1040g3k831jodhkfsj01g47oshmcearkg340k4rg!nc_n_webp_mw_1"
61f29759000000000102da9a,note,框吉周的小饼干,2022-01-27,112,29,20,,【癌症家属推荐】推荐你们一个app来计时,https://www.xiaohongshu.com/explore/61f29759000000000102da9a?xsec_token=AB63cc6Us72kaCFlgpeEH29j03yFXCIVQFl8vzEqCLLxo=&xsec_source=pc_search&source=unknown,IP属地：江苏,"http://sns-webpic-qc.xhscdn.com/202508111420/b2851b619a806a02b380a3009b1b653c/01021r0167wu127d2190118klxb3b6r8y0!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/7575b2e9dbbb7175491b030a1ad60add/01021r0167wu127d2190118klxb8e8hour!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/3fa70c89b57e114dbf059e831510c9a7/01021r0167wu127d2190118klxb1kbyirv!nc_n_webp_mw_1"
6877bf40000000001c030210,note,Oplex,07-16,44,39,103,,记录鼻咽癌倒计时（一）,https://www.xiaohongshu.com/explore/6877bf40000000001c030210?xsec_token=ABYFg1GXQCakau-cx-mqj63Ifh_lMsHakmBBK5Om_1gII=&xsec_source=pc_search&source=unknown,IP属地：广东,http://sns-webpic-qc.xhscdn.com/202508111420/25bb4e265377fb954607277a816b075d/notes_pre_post/1040g3k031k0kat1qio605og7b0ik0lcl9u2b7ko!nc_n_webp_mw_1
65a78c290000000029028e53,note,兵哥,2024-01-17,39,3,2,,得了癌症就意味着进入倒计时吗,https://www.xiaohongshu.com/explore/65a78c290000000029028e53?xsec_token=ABh0-LkY79O-9Xjhu1FslBmAmSOYtB903RS4VHC227128=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/10963c7ddad27f34d9208182a94e26b1/110/0/01e5a78c1cd9c55e0010000000018d167b56e7_0.jpg!nc_n_webp_mw_1
65d7eee8000000000b01691d,note,浅梦,2024-02-23,22,3,26,,,https://www.xiaohongshu.com/explore/65d7eee8000000000b01691d?xsec_token=AB9jgieDhkJVCi0vDCqaaSeKpF807lyQF26ErlguXnN9g=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/181c71ffa85d6be482333ea87f083104/1040g00830vgi51jqls6g5oo25jn4hp4m4jrb2s8!nc_n_webp_mw_1
685de71d00000000170341df,note,山东省李晓沛医生,06-27,22,20,5,,晚期肝癌 临终前会经历哪些过程？,https://www.xiaohongshu.com/explore/685de71d00000000170341df?xsec_token=ABBtgspAzuqgNRN8fO13RZyRPGL8iy6Jo6Uk9tcAJk2pk=&xsec_source=pc_search&source=unknown,IP属地：山东,http://sns-webpic-qc.xhscdn.com/202508111420/bf96a7b537e4272ce3ec571b8360a351/spectrum/1040g0k031j7clol32g005pd141aoi5sak8fc77o!nc_n_webp_mw_1
689832db000000000403c533,note,园yuan%,1天前,21,2,47,,如果生命倒计时,https://www.xiaohongshu.com/explore/689832db000000000403c533?xsec_token=ABZVFH-g5vopu6bXHd9vD8_EMwpegblHgtjVOPaR0TljE=&xsec_source=pc_search&source=unknown,IP属地：北京,http://sns-webpic-qc.xhscdn.com/202508111420/370913b8792936afaed122cb1aca3a89/notes_pre_post/1040g3k031l0a2h7k30005ovou2943hptq60eiq0!nc_n_webp_mw_1
684e8731000000000c038706,note,不会再快乐了,06-15,18,7,97,,,https://www.xiaohongshu.com/explore/684e8731000000000c038706?xsec_token=ABnz6Ueh6t0xXGXtCPiHNADIgx64riIYhGcSB4gwlBGxY=&xsec_source=pc_search&source=unknown,IP属地：山东,http://sns-webpic-qc.xhscdn.com/202508111420/51ec9a4eddb0a9338cc702aa88079d56/1040g00831ioc7tns14004a5gqlus5pitadi917o!nc_n_webp_mw_1
67e33874000000001c008614,note,小千千,03-26,18,3,6,,,https://www.xiaohongshu.com/explore/67e33874000000001c008614?xsec_token=ABYRPu2uMwSH_AohZvG5AL4EfvwBKNZriRwW4QgOT0ntg=&xsec_source=pc_search&source=unknown,IP属地：广东,"http://sns-webpic-qc.xhscdn.com/202508111420/8523db7893b1abff44d3cc6055d4c2d3/1040g00831ffirpvr5u6g5n3p8d5lut440nf89i8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/a9041db3838f08645aa17dd3beeba485/1040g00831ffirpvr5u605n3p8d5lut446d4q4j0!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/1a7e0b5c512226f5eabc202d8646fd1e/1040g00831ffirpvr5u105n3p8d5lut441q6vfm8!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111420/6723acf5f959ab39a50b29140084e4f1/1040g00831ffirpvr5u5g5n3p8d5lut44ievtol0!nc_n_webp_mw_1"
68484553000000002001c3d9,note,小红薯62011F32,06-10,12,4,21,,失去妈妈倒计时,https://www.xiaohongshu.com/explore/68484553000000002001c3d9?xsec_token=ABlW9BsqVOa3xetuQz7fsDSecsoaAyXc6FxdR7PAay3ug=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/c1edc1ab6a81d0a92e4cc5e92ede3ee3/1040g00831ii85u7208005ofvlc841s1kjpu4iio!nc_n_webp_mw_1
65e41af1000000000b01ba0d,note,cy星辰,2024-03-03,9,3,9,,我真的哭死，舍不得，最后一个月倒计时,https://www.xiaohongshu.com/explore/65e41af1000000000b01ba0d?xsec_token=ABlhY598LTNa9u05VVgKGMRPCSDDbIgC2TrysDvkC-APM=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/1bfb5612e1aaff8bfe05e413a51b3827/1040g00830vscksi2lq505pe1o6lifseauadh25g!nc_n_webp_mw_1
65a5d704000000001101dc55,note,兵哥,2024-01-16,8,1,1,,得了癌症并不意味着进入倒计时,https://www.xiaohongshu.com/explore/65a5d704000000001101dc55?xsec_token=ABP1jbi0aQI6DokBqnWZgm-5ABEvzVvA-RX7hSst8D6dE=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111420/946aace004031d600158eb477fe0dc52/110/0/01e5a5d6f45da3a10010000000018d0fcfb736_0.jpg!nc_n_webp_mw_1
6858c2150000000012021734,note,拼命妈妈重生记,06-23,8,0,0,,《乳腺癌手术倒计时1天》,https://www.xiaohongshu.com/explore/6858c2150000000012021734?xsec_token=ABECkD-NYuFd-LzKbTAgxIn5EAayADJ7-twSwFjuB6vOM=&xsec_source=pc_search&source=unknown,IP属地：四川,http://sns-webpic-qc.xhscdn.com/202508111421/5774fd4bf1d9873ce3be5a3724d2c7a0/1040g00831j2bofki1g6g5nt7ud5gbt8bq9pvka8!nc_n_webp_mw_1
65fda7aa00000000120360e4,note,momo,2024-03-22,7,0,16,,,https://www.xiaohongshu.com/explore/65fda7aa00000000120360e4?xsec_token=ABL8jNCXh1P6Kqb01O4dA7WaodXRlUfTn-ZUbXf4EHacI=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111421/18757e121519253259627b10584ed71b/1040g008310lcuoqv6g005odj6cvk17qottmjag8!nc_n_webp_mw_1
660a98bd000000001b00877f,note,蓝色的小鱼在深海,2024-04-01,9,3,36,,当生命开始倒计时，我能为您做些什么,https://www.xiaohongshu.com/explore/660a98bd000000001b00877f?xsec_token=ABADAPCkbtqzjBI0T_5p2GlNn8advJAm4EQrG7PzRMtWU=&xsec_source=pc_search&source=unknown,IP属地：河北,http://sns-webpic-qc.xhscdn.com/202508111421/fc295b1a3dfd819ae4a4c4c7ef7c235b/1040g00831121cfamma6g5n9d1q44821osj9md40!nc_n_webp_mw_1
688f21f10000000005008ebe,note,陪你聊疗,08-03,7,5,0,,前列腺癌晚期预判剩1年，他已五载带瘤生存,https://www.xiaohongshu.com/explore/688f21f10000000005008ebe?xsec_token=ABKyBKlXW1Yg7Q4TN1e3miLOUgRz8oxl-8ouMWTXCYOwE=&xsec_source=pc_search&source=unknown,IP属地：广东,http://sns-webpic-qc.xhscdn.com/202508111421/e303a0aa61e9a41f7d0792421acda9cb/notes_pre_post/1040g3k031kneuncm30005q3kp9u6r8icfirjfo8!nc_n_webp_mw_1
67068f1b000000001b02311c,note,Danae,2024-10-09,6,2,6,,26岁癌症晚期生命倒计时,https://www.xiaohongshu.com/explore/67068f1b000000001b02311c?xsec_token=ABbz3PEs-6DxMmZff3diYbhBF7XfUievbqNTsgUwPaDzc=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111421/4e86c2e1aff354b8fe83864719f22662/1040g2sg318o36ajugo705nukue4g95faukti6v0!nc_n_webp_mw_1
6897fd540000000003032fbb,note,🔅小温暖🔅,1天前,5,2,52,,胰腺癌术后：离世,https://www.xiaohongshu.com/explore/6897fd540000000003032fbb?xsec_token=ABEbWTWLICLWpS1q6kNhlsqb5FtOhXk3dnBQxo7Wt3GRU=&xsec_source=pc_search&source=unknown,IP属地：辽宁,http://sns-webpic-qc.xhscdn.com/202508111421/b37e42a71fd9245b88d06d021bc2b5ad/1040g2sg31l02ao5oio7049ev2siifd74s0en6u0!nc_n_webp_mw_1
66d0230b000000001d01401b,note,永远都是少女心,2024-08-29,10,2,1,,是不是得了癌症，生命就进入了倒计时,https://www.xiaohongshu.com/explore/66d0230b000000001d01401b?xsec_token=ABu4y1wob7hiHtMsLuhnn2a7WFzr7Clc5W6mIEhIx4Xxw=&xsec_source=pc_search&source=unknown,无,http://sns-webpic-qc.xhscdn.com/202508111421/fdfecef2d35d58546a86730f6b137db1/1040g0083172ugndmgm505pa8q3g0rnsa5dgtad0!nc_n_webp_mw_1
68668cda000000000d024b70,note,小面包不吃面包,07-03,3,0,2,,癌后重生|大复查倒计时4天,https://www.xiaohongshu.com/explore/68668cda000000000d024b70?xsec_token=ABv045S9dzU32OBgKy0WHhD0vjxykVNRiX1XsjvziRPIc=&xsec_source=pc_search&source=unknown,IP属地：河南,http://sns-webpic-qc.xhscdn.com/202508111421/e9f7c067570f4ac73463654786188d1d/1040g2sg31jfqm76g3idg5p693plapfdd5c5aa9o!nc_n_webp_mw_1
67041c83000000002c02b856,note,🌰,2024-10-08,5,0,1,,一个肝癌终末期患者家属的倒计时纪录,https://www.xiaohongshu.com/explore/67041c83000000002c02b856?xsec_token=AB3FZOyCgihnJr_h-OTGkGV0GR7oMkeYCrEsOJw3Ket0E=&xsec_source=pc_search&source=unknown,无,"http://sns-webpic-qc.xhscdn.com/202508111421/2cdf71010192cae7be7b96e8b3de8bfd/1040g008318lmn3qkk6005o90cnn08gt8jkb2ih0!nc_n_webp_mw_1,http://sns-webpic-qc.xhscdn.com/202508111421/01d008326a95d22edad765802672037e/1040g008318lmn3qkk60g5o90cnn08gt8rtcj45o!nc_n_webp_mw_1"
6898c9c3000000002303159c,note,大路重生-生命成长,13小时前,6,1,2,,癌后三胎，预产倒计时,https://www.xiaohongshu.com/explore/6898c9c3000000002303159c?xsec_token=ABZVFH-g5vopu6bXHd9vD8_NvRB-C_llMPtFbBjuiIjmc=&xsec_source=pc_search&source=unknown,IP属地：山东,http://sns-webpic-qc.xhscdn.com/202508111421/1b57137e3255de1641cebd35897228d6/1040g00831l0sp2b1io005o5ib1cgbneeovihh48!nc_n_webp_mw_1
