标题,链接,封面,内容,推出日期
习近平接见全国群众体育先进单位、先进个人代表和全国体育系统先进集体、先进个人代表,https://mp.weixin.qq.com/s/CupuDBReuFM5IA6US8jT9g,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08A0dcqBD5loa4WG3LuwLAhjptfvDUssG3ibltKte33B9JOb1XPqVgftWuCkvKS1RMrT746FhQVVHjw/0?wx_fmt=jpeg,在第十五届全国运动会即将开幕之际，中共中央总书记、国家主席、中央军委主席习近平9日下午在广州亲切接见全国群众体育先进单位、先进个人代表和全国体育系统先进集体、先进个人代表，向他们表示热烈祝贺，勉励他们奋力拼搏、再创佳绩，为建设体育强国作出新贡献。下午4时15分许，习近平等来到广州白云国际会议中心，全场响起长时间热烈掌声。习近平向大家挥手致意，不时同代表亲切交流，并同大家合影留念。李鸿忠、张又侠、黄坤明、谌贻琴、王东峰等参加接见。 来源：人民日报客户端本期编辑：李娜、郑薛飞腾、陈子涵觉得好看，请点这里↓↓↓,2025-11-09 18:41:48
习近平会见国际奥委会主席考文垂和终身名誉主席巴赫,https://mp.weixin.qq.com/s/PY-_oCHS3pnwlWUdYquTwA,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08A0dcqBD5loa4WG3LuwLAhjy5JLbx93l6EZZIUCdFDc11ADZFBHELsZOJVO8M3oGUNG32rb1O5IvQ/0?wx_fmt=jpeg,11月9日下午，国家主席习近平在广州白云国际会议中心会见来华出席第十五届全国运动会开幕式的国际奥委会主席考文垂和终身名誉主席巴赫。习近平指出，奥林匹克精神是人类文明的重要内容，寄托着各国人民对建设更美好世界的期盼，同中方推动构建人类命运共同体的愿景高度契合。中国始终是奥林匹克精神的坚定践行者、维护者、传播者。近年来，中国同国际奥委会在推进体育事业中相互支持，携手办成了很多大事好事。年初我们在冰天雪地的哈尔滨共襄亚冬盛会，今天又在温暖如春的广州共赴全运之约，体现了中国同国际奥委会之间的友好密切关系。中方愿持续深化双方高水平合作，统筹推进体育强国建设和奥林匹克运动发展，为全球体育治理贡献更多智慧和力量，为构建人类命运共同体作出更大贡献。习近平强调，全运会是中国最大规模、最高水平的综合性运动会，这届全运会由广东、香港、澳门三地合办。粤港澳大湾区是中国开放程度最高、经济活力最强的区域之一。推进粤港澳大湾区建设，就是要打造中国新发展格局的战略支点、高质量发展的示范地、中国式现代化的引领地。相信这届全运会不仅将见证新时代中国体育事业发展的新成就，也将展现中国式现代化在粤港澳大湾区的万千气象。考文垂和巴赫表示，很高兴来到广州，从粤港澳大湾区建设中感受中国现代化建设的蓬勃生机和巨大成就。中国积极践行奥林匹克精神，为国际奥林匹克事业发展作出重要贡献。国际奥委会感谢中方长期以来给予的大力支持，期待不断加强对华合作，共同推动奥林匹克运动蓬勃发展，进一步将奥林匹克精神传遍世界，增进各国人民团结，促进世界和平。相信即将开幕的中国全运会将是一届精彩成功的盛会，一定会推动中国体育事业取得新的发展。王毅、黄坤明、谌贻琴等参加会见。来源：人民日报客户端本期编辑：李娜、郑薛飞腾、陈子涵觉得好看，请点这里↓↓↓,2025-11-09 18:11:12
重磅征集！,https://mp.weixin.qq.com/s/DZcxGqYr5a9fkolcQeRG_g,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08A0dcqBD5loa4WG3LuwLAhj5LOf28asSlYiaATWZLdAvYJcJEo5STpeh9mfJEHJRvmW3CkWpibxtAUA/0?wx_fmt=jpeg,“十五五”时期是基本实现社会主义现代化夯实基础、全面发力的关键时期。党的二十届四中全会通过的《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，是指导未来五年我国经济和社会发展的纲领性文件。依据党中央“十五五” 规划《建议》，按照党中央和国务院的部署，国家发展改革委正在组织拟订“十五五”规划《纲要草案》。为把党中央“十五五”规划《建议》明确的目标任务落实落细，将社会各界意见建议充分体现到“十五五”规划《纲要草案》编制中，国家发展改革委现开展“贯彻落实党的二十届四中全会精神 高质量编制‘十五五’规划《纲要》——‘十五五’规划《纲要》问计求策”活动，征集对经济社会发展各领域的具体举措建议。真诚邀请社会各界提供宝贵意见建议！期待您的积极参与！本次活动截止时间为2025年11月14日20点。踊跃参与，畅所欲言期待你的“好声音”！来源：国家发展改革委，制图：王宇峰本期编辑：石磊↓↓↓点击“阅读原文”立即参与,2025-11-09 14:24:07
真的建议多把南瓜当主食！理由不止一个,https://mp.weixin.qq.com/s/4ZD91GZ1y7gjXEk1nGal4w,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08AcrAT1ibOtu6ENpzYszicjusonFerQ2k3PqGZKJK7JqZDsbpy96jFrVD0ibMQqkQpH4OaiaeAmjCoXDA/0?wx_fmt=jpeg,南瓜，有着“蔬菜中的黄金”的美誉。老南瓜味道甜润、水分足，贝贝南瓜绵密软糯，可以满足人们的不同口感。不过，相比于其他叶菜，南瓜碳水化合物含量高、热量高，吃多了容易热量超标。为了让大家能尽情享受南瓜的美味，今天就来给大家推荐一个南瓜的超赞吃法——用南瓜替代部分主食。01把南瓜当主食两个关键词要注意南瓜，不仅比精米白面做的主食膳食纤维含量高、饱腹感强，还含有丰富的类胡萝卜素，钾含量也遥遥领先。用南瓜做主食，要注意两个关键点，一个是替代，一个是部分。替代，是说不要在吃完主食之后，拿南瓜当餐后零食吃，这样等于额外摄入热量。部分，是说不建议主食只吃南瓜，毕竟南瓜的热量比其他主食低不少，长期只以南瓜做主食，容易形成热量亏空，营养不良。无论是哪种南瓜，热量都比常见的主食低，通常是馒头、面条、米饭的1/5~1/10左右。相比起来，南瓜的碳水化合物含量也不高，即便是吃起来又糯又粉的栗面南瓜，碳水化合物也只有8.8克/100克，是馒头的1/5左右。南瓜中膳食纤维的含量却较高，像栗面南瓜的膳食纤维含量就比馒头高出1倍，是米饭的8.6倍。可见，用南瓜替代部分精米白面类主食，不仅能帮助我们减少摄入的总热量，还能提供更强的饱腹感。值得一提的是，用南瓜做主食时，最好搭配红豆、绿豆、芸豆等杂豆和糙米、全麦等全谷物，既能获得足够热量，又能提供充足的膳食纤维和B族维生素，餐后血糖也不至于上升太快。不过，南瓜的蛋白质含量相比其他主食略逊一筹，如果您平常吃得偏素，在用南瓜当主食吃时，就要注意补充一些蛋奶或豆腐等富含优质蛋白的食物。02相比其他主食南瓜还有这个特殊优势用南瓜做主食，还有一个非常值得推荐的优点，那就是南瓜的类胡萝卜素含量很高，可以达到890~1518微克/100克。正常成年人每天建议摄入660~770微克当量维生素A，相当于3960~4620微克类胡萝卜素。一天中如果有100克的主食是南瓜，就能满足约22%~40%的需求，再搭配上各种深绿色蔬菜，就能轻松达到每日推荐量。由类胡萝卜素转化成的维生素A是视网膜感光物质的重要组成成分，当维生素A缺乏时，不仅暗适应能力下降，出现“夜盲症”，还会加剧眼干、眼涩和视觉疲劳。摄入充足的类胡萝卜素能很好地补充维生素A来源，对眼睛的保护不言而喻。而且，有不少国内外研究证实，类胡萝卜素有很好的抗氧化作用。如，能帮助对抗空气污染物诱发的氧化损伤，通过清除自由基、抑制脂质过氧化、抑制低密度脂蛋白氧化等方式，起到保护心血管健康、延缓衰老的作用；它强大的抗氧化能力还能减少氧化应激对免疫系统的损害，从而提升人体免疫力。除此之外，南瓜中钾含量也比馒头等主食高出3~10倍，能帮助调节血压，降低中风及其他心脑血管疾病的风险。对于日常吃盐较多、口味偏重的人来说，在保持清淡饮食的基础上，多吃些南瓜也很有益处。03南瓜怎么选？怎么吃？南瓜种类繁多，形状颜色不一，实际上记住几个简单的规律，挑选起来就容易多了。1.老南瓜：口感清甜、热量低老南瓜就是比较常见的那种颜色橙黄，大大、长长的南瓜。这种南瓜最大的特点是水分含量高、碳水化合物含量低，吃起来水润清甜，适合有减重需求的朋友。不仅可以直接蒸了当主食吃，还可以用蒸好的老南瓜代替水来和面，做出香甜的南瓜馒头、小饼；或者捣泥做成浓汤，热乎乎的也很适合秋冬。另外，这种南瓜还可以趁着不那么老的时候切片炒菜，口感爽脆。2.贝贝南瓜/板栗南瓜：软糯香甜，主角配角都当得这两种都属于栗面南瓜，他们的共同点是水分含量都比老南瓜低、口感更绵、糯，甜味也更醇厚。相比较而言，板栗南瓜个头更大，口感也更干、面，很像板栗。这两种南瓜因碳水化合物含量高，热量也更高，用它们替代部分主食是不错的选择。用贝贝南瓜、板栗南瓜当容器，来做炖菜或者甜品也是可以的。以贝贝南瓜做盅来蒸牛奶鸡蛋布丁，不仅借了南瓜的香甜软糯，还配上牛奶鸡蛋的优质蛋白，是一道口感丰富、老少皆宜的低糖健康甜品。无论选择哪种南瓜，都要注意加工方法。像奶油南瓜浓汤、咸蛋黄焗南瓜、拔丝南瓜这样高糖、高油的菜肴，吃一两次解解馋还行，不建议经常吃。最推荐的做法是蒸着吃，简单美味，还能更好地保留类胡萝卜素。04吃南瓜，避免这个误区关于南瓜，有一个误区要注意。虽然南瓜中的南瓜多糖在动物实验中表现出了降糖作用，但并没有足够证据表明其对人类也有同样效果。南瓜中碳水化合物含量比主食低，但比叶菜和水果可高多了。况且，南瓜容易消化，血糖生成指数也不算低（75），属于高血糖生成指数食物，所幸因碳水化合物含量低，血糖生成负荷并不算太高（3.9~6.6），属于低血糖负荷食物。综合来看，南瓜并不能算是一个“降血糖”食物，如果吃得过多（尤其是含碳水化合物偏高的栗面南瓜），血糖一样会受影响。如果在吃了主食之后，为了“降血糖”再吃大量南瓜，会适得其反。因此，有血糖方面问题的朋友应该谨遵医嘱合理用药，饮食上用南瓜替代一部分精米白面，这样更加合理。来源：科普中国，作者：王璐 注册营养师，审核：阮光锋 科信食品与健康信息交流中心副主任本期编辑：石磊、林帆觉得好看，请点这里↓↓↓,2025-11-09 13:23:57
14岁初中生作文，让无数人泪目,https://mp.weixin.qq.com/s/JK5ZEdt0sben-kYDdTbZLg,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08A0dcqBD5loa4WG3LuwLAhjEfDibhneRPbpqo1hasz6dBhQH0Qf3BgGSzwI20QEQoic1bsdriaXRlfXw/0?wx_fmt=jpeg,“只是一层薄薄的土，人与人就再难相见了。”近日，湖南娄底初三学生龙睿熙的作文《藏在罐子里的爱》，让无数人泪目。《藏在罐子里的爱》龙睿熙秋夜寒凉，月光朗照，夜空中倔强地闪着几点星光。我抬起头凝视着天上闪亮的星，想起我妈曾经在星空下和我说过：每个勤劳善良的人在死后都会变成天上的星星，守护着地上的人。幼小的我便在想：哪一颗会是奶奶呢?星辰点点，月光流转，跨过了时间，照在了橱柜的罐子上。那时的我还只有几岁大，和爷爷奶奶一起生活在乡下。当时的我话都说不太利索，天天只知道往外跑，对外界的一切都有着极大的好奇心，总是喜欢跟着大声嘎嘎的肥鸭绕着院子转。屋里的各种小东西都喜欢看一看，摸一摸，有时甚至还会用嘴尝一尝。那是一个炎热的下午，毒辣的太阳炙烤着大地，刺眼的阳光令人望而生畏。我像一只无头苍蝇一样在院子里乱窜，一转头，又跑进了厨房，看到了正在忙活着的奶奶。极度无聊的我看见旁边的橱柜上有一个罐子，我努力踮起脚，伸手想去拿，可不管怎么努力就是差那么一点。奶奶好似背后也长了一双眼睛，看到了我头顶的罐子，也看到了我嘴角的口水。她水龙头都没关，扔下手上的东西就走了过来，在围裙上小心翼翼地擦干双手就把我抱到了旁边。这才转过身去拿罐子，拿着小勺子轻轻舀了一勺放到了我的嘴里，入口时这种甜蜜的味道不断地冲击着我的大脑，于是我记住了这种白色小颗粒带来的快乐。后来奶奶每天都会给我吃一点，每次我都笑得非常开心，奶奶明明没有吃，却也和我一样开心。幸福从罐子里跑了出来，弥漫了整个屋子。后来，我离开了老家，来到城里读书。也是在厨房里，我看见了一个差不多的罐子，里面也装满了白色的小颗粒。我欣喜地拿了一点尝了尝，好像尝到一样的甜就能回到和奶奶在一起的好时光。可是传到嘴里的却是一股苦味，这时我才明白什么是糖，什么又是盐。可是这时我已经无法向她撒娇要糖吃了。“物是人非事事休，欲语泪先流。”今天乡下的月很圆，后山的土地和院子里的人沐浴着同样的月光。只是一层薄薄的土，人与人就再难相见了。这篇作文，来自湖南娄底市第一中学附属星星中学的初三语文老师童丽芳布置的半命题作文“藏在___的爱”。童丽芳在批改作文时，被14岁学生龙睿熙回忆已离世十年奶奶的句子打动。在征得同意后，她将这篇作文分享到了网络平台。《藏在罐子里的爱》最初版本文字童丽芳说，在发布前她曾与龙睿熙反复确认，甚至将文字放到网上查重。“我还给他的爸爸妈妈发了消息，当时提了一嘴孩子奶奶，爸爸妈妈就马上提到了糖罐子这件事。细节也能核对上，而且，这不是他第一次写自己的奶奶。他有这样的文字表达能力。”作文背后：奶奶去世时他才4岁父母时常跟他说“奶奶是个很好的人”在谈到文章创作灵感时，龙睿熙在回忆奶奶时红了眼眶。“我和爸妈弟弟交流很多，他们的爱不算藏起来的。所以想到了奶奶。”许多人被文章打动，以为龙睿熙与奶奶有漫长深厚的相处时光，但他坦言，虽然奶奶从小陪伴着自己长大，但在十年前去世，那时他只有4岁，记忆也在此停止。龙睿熙家庭合照，图源/当事人家属龙睿熙不会说娄底话，奶奶只会说方言，交流几乎无法进行。“我们几乎没话说。”但这份沉默的爱被岁月风干成甜，在记忆里反而愈发清晰的是奶奶的背影。可有些东西留下了——那糖罐子下藏着的那点甜。由于父亲不愿多提逝去的母亲，奶奶的形象更多是经由妈妈的日常讲述而留存下来。妈妈总会念叨“奶奶是一个很好的人”，这些点滴的家庭记忆，让奶奶的形象在龙睿熙心中不断被重温，最终被他用文字“留住”了。 回应AI写作质疑：“我觉得这算另一种夸奖” 14岁的龙睿熙在担心，担心被捧得太高，担心下次写不出这样的文字。龙睿熙初中时参加象棋比赛“有网友说靠情感打动人初中还行，高考作文不会出色，还有人怀疑是AI写的。”龙睿熙笑了笑，“我觉得这算另一种夸奖，他们没否定文章本身，只是怀疑是不是我写的。但文章表达了我的感情，这就够了。” 对于未来，龙睿熙坦言目前只想继续平淡的生活和学业。临近初三升学考试，对于是否把写作当成专业，他尚未多想。这篇作文很快引发了网友们的集体共鸣无数人在评论区倾诉着自己对奶奶的思念有网友说：“奶奶带大的孩子才懂”“我也想我奶奶了小时候没有什么饮料奶奶总是给我冲红糖水喝还会用手绢小心翼翼包着攒下的钱给自己买喜欢的东西每次离家时奶奶总会驼着背在屋前挥手哪怕走了很远回头望去那个身影依然在原地”龙睿熙罐子里的白糖网友记忆中口袋里的零食、手绢里的零钱、屋前的身影……都是奶奶们藏在细节里的爱这些朴素又纯粹的温暖藏在岁月的褶皱里被文字唤醒也让那些深埋心底的思念都有了温柔的寄托很多人的记忆里都有这样一个“罐子”里面装着爷爷奶奶给过的简单却也再也买不到的甜罐子会空，人会走远但那弥漫一生的爱成了我们心中永远的牵挂来源：人民日报视频号、新华每日电讯本期编辑：石磊、林帆觉得好看，请点这里↓↓↓,2025-11-09 11:56:14
刘德华压轴，今晚演员阵容公布,https://mp.weixin.qq.com/s/jbxJkfQfXxWomLIfRrMcsA,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08A0dcqBD5loa4WG3LuwLAhjJZ6gaZu9O1quAUQLFp2flJ357ux8MYdF69NCduMQZTZmgX68iaIqp1w/0?wx_fmt=jpeg,十五运会开幕式文体展演阵容8日正式公布，粤港澳三地文艺力量将在今晚齐聚广东奥林匹克体育中心，力争以最佳状态呈现一场展现“国际水准、中国气派、岭南风韵、湾区魅力”的开幕式。资料图第一章“同根同源”由山翀、黄琛迪、杨春莹以舞蹈诉说文化渊源。第二章“同心同缘”融汇岭南风情，粤剧名家汪明荃（香港）、曾小敏、麦晓柔（澳门）联袂演绎经典曲目，咏春传承人叶港超（香港）、叶尚彤（香港）、董崇华与武术演员谢苗共同展现传统武术魅力。第三章“同梦同圆”则集结湾区文艺能量：张钟中、林嘉欣呈现岭南春早意境，容祖儿（香港）、曾比特（香港）、刘乃奇（澳门）等歌手创新献声，陈小春（香港）、谢天华（香港）、林晓峰（香港）、钱嘉乐（香港）重温经典旋律，刘德华（香港）压轴登场升华主题。周深、单依纯将合唱开幕式主题曲《天海一心》，以歌声凝聚三地情谊。十五运会广州赛区执委会相关负责人介绍，这场备受瞩目的体育文化盛会，从主创团队到执行制作，从运行保障到舞台演出，均由三地力量共同构筑，生动诠释“湾区同心”的协作精神。11月9日晚，开幕式将以创新编排和深厚文化底蕴，展现粤港澳大湾区融合发展新图景。全体演职人员已准备就绪，力争以最佳状态呈现一场展现“国际水准、中国气派、岭南风韵、湾区魅力”的开幕式。期待！来源：新华社，记者：王浩明本期编辑：石磊、林帆觉得好看，请点这里↓↓↓,2025-11-09 11:26:24
就这两个字！,https://mp.weixin.qq.com/s/fOBvzYYg21_TaLiRdp6nqA,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08CribPvicHDCCZvVNKJGndfIPRZhquX1guxH4vcDUlq3ibTMD2bmWKjkK5RAYyFYCPV0uSJtiaHjicV6Xg/0?wx_fmt=jpeg,今天中华人民共和国第十五届运动会开幕谨以此片献给每一位顽强拼搏的运动员也献给每一位努力奋斗的你我们总爱说加油当我们想赢当我们想拼当我们相信 我们为胜利加油因为成绩来之不易从来没有毫无悬念的赢只有日复一日的拼 我们也为失意鼓劲因为胜利不仅属于第一名比金牌更重要的是经历我们为队友加油当相拥在一起为冲刺者欣喜让后来者借力比传奇更伟大的是传承我们也为对手加油因为伟大的对手成就对手的伟大我们无惧交手更乐于握手 我们更为自己加油我的赛场就在脚下冠军是那个比昨天更昂扬的我从一个人的“单刀赴会”到一代人的全力以赴从渴望“零的突破”到00后扛起大旗从第一块到“第一快”我们曾奋力追赶世界的脚步如今，我们携手拥抱整个地球第十五届全国运动会将于2025年11月9日至21日在广东、香港、澳门举行，这也是全运会历史上第一次走进香港、澳门。我们能跨过赛道的栏也能过人生的关我们能跳出中国高度也能建成中国高度加油为每一个你我只要点燃心头的炬火每个人都能成为自己的冠军每一次，每一天我们，一起加油加油每一位顽强拼搏的运动员加油每一个努力奋斗的你我加油，中国！来源：人民日报新媒体本期编辑：李娜加油，中国↓↓↓,2025-11-09 10:12:00
全运会图鉴,https://mp.weixin.qq.com/s/WjVxDQhZkSfeiZRIW5YLUw,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08CribPvicHDCCZvVNKJGndfIPGFPsdfNlP9BwW6kyNOF1ZAPWH6RhGUBib7KRiaWGUlfmFoXiaAdMjZicTg/0?wx_fmt=jpeg,来源：人民日报新媒体，监制：余荣华，统筹：刘杰、陈子涵、阮可欣，策划：李志征、金城、陈刚、赵杨，绘制：罗计坤、何艺、张泳强、钟明豪、潘紫何、高琪博、严惠本期编辑：刘杰、阮可欣、陈子涵觉得看好，请点这里↓↓↓,2025-11-09 09:10:00
这条推送可不能“火”,https://mp.weixin.qq.com/s/axmvEfNhOsIYnNNGfDW-2w,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08CribPvicHDCCZvVNKJGndfIPCFhI2iacnCVala3bG9yBQ7mgkOo4qq20dCICrzJPpSrhgib6fdrFbBSA/0?wx_fmt=jpeg,世间也许没有“超级英雄”但是有他们！今天（11月9日）是全国消防日一起致敬“烈火英雄”↓↓↓我们的每一个安宁日子都是他们负重前行的意义愿每一次出征都能平安归来同时，也提醒大家时刻注意消防安全让我们用实际行动向生命的守护者致敬！来源：人民日报微信，制图：安然，策划：方梓祎、罗新烨，图片支持：王孙致远、刘瑞瑞、施政本期编辑：方梓祎今天，致敬“烈火英雄”！↓↓↓,2025-11-09 08:17:00
啥是GBA？,https://mp.weixin.qq.com/s/kB52jEph3bjgMWYuhvuETw,https://mmbiz.qpic.cn/sz_mmbiz_jpg/xrFYciaHL08CQlDj5ib73c5sUcgtwH8YW3mAoicMcQBEKWbe6IVnuaDjClicaKlzjhK658MLib2EYw5twPU3nAyhrmw/0?wx_fmt=jpeg,听说过CBA（中国男子篮球职业联赛）MBA（工商管理硕士）你知道啥是GBA吗？答案揭晓——the Greater Bay Area（GBA）粤港澳大湾区！江海之大这是一片独特的区域看地理三江汇流、八口入海它是咸淡水的交界处也是南粤大陆与南海大洋的交汇点论人文千余年海丝起点、百余年革命薪火四十余年改革先行留下的故事说也说不尽深中通道。从行政区划上看粤港澳大湾区包括香港特别行政区、澳门特别行政区广东省广州市、深圳市、珠海市佛山市、惠州市、东莞市中山市、江门市、肇庆市在这片总面积5.6万平方公里常住人口超8600万的区域内11座城市像1个组合出道的团体个个有绝技合力写新篇珠海横琴。拼经济，促贸易客商们“买全球，卖全球”贯通国内国际双循环以不到全国0.6%的国土面积创造了全国1/9的经济总量第138届广交会上，进口展参展商与采购商（左）洽谈。谈创新，创未来广深港、广珠澳两条科技创新走廊如“人”字铺展中国散裂中子源、先进阿秒激光等“国之重器”相互辉映深圳国家基因库。每到假期这里也是各大旅游榜单的热门目的地城市景观、滨海风光多元美食文化、主题公园群吸引众多海内外游客中西碰撞中兼收并蓄的岭南文化似一曲绵长的旋律在骑楼街巷的斑驳光影里浅吟低唱于维港两岸的璀璨灯火中激荡回响香港城市风光。融合之湾江海交汇孕育了沿岸的城市其宽阔的水面也曾是天然的阻隔2018年以来港珠澳大桥、深中通道、黄茅海跨海通道等6条跨江跨海通道建成通车伶仃洋上现通途如今广深港高铁实现“公交化”运营澳门轨道交通接入广东省高铁网大湾区越来越像一座城广深港高铁，香港西九龙站。图据中国铁路路相连的同时“软联通”也在不断加速“港车北上”“人才签注”等突破性政策不断优化187项高频政务服务事项实现“跨境通办”从教育、医疗、社保等民生领域到跨境金融、合作查验等专业领域粤港澳三地持续扩大规则衔接促进要素便捷高效流动公共服务融通共享市民及访客从深圳湾口岸（港方口岸区）入境深圳。路相连、城相融的成效则由大湾区的居民来检验今年以来经港珠澳大桥珠海公路口岸出入境的港澳居民已超1436万人次经港珠澳大桥边检站查验的内地旅客数量超过1015万人次“说走就走”的跨境旅行丰富多元的文体活动、餐饮美食高品质的社区、医疗和教育都成了大湾区人生活中触手可及的选项澳门城市景观。向着未来大湾区城市还在齐心协力让城市更绿、湾区更美人与自然更和谐深港两地携手开展深圳河治理引来鸬鹚、黑脸琵鹭等候鸟驻足澳门路氹城生态保护区内约55公顷的湿地被茂盛的红树林覆盖成为50多种水鸟的栖息天堂如果穿行在港珠澳大桥上幸运的时候还可以看见野生中华白海豚跃出水面港珠澳大桥附近海域，中华白海豚跃出海面。在这里“B”是包容的港湾（Bay）也可以是沟通的桥梁（Bridge）跨海长虹蓬勃生长（Booming）机遇涌动激动人心（Breathtaking）在这片热土上融合破壁，未来破晓（Breakthrough）梦想可以无限想象（Boundless）珠海，港珠澳大桥三帆日出。活力之区今年9月世界知识产权组织发布《2025年全球创新指数》百强创新集群“深圳—香港—广州”创新集群首次排名全球第一这股奔涌激荡的活力从何而来这，就是答案深圳大梅沙海滨。建设粤港澳大湾区既是新时代推动形成全面开放新格局的新尝试也是推动“一国两制”事业发展的新实践大胆闯、大胆试开出一条新路来打造国际一流湾区的愿景正凝聚起磅礴的力量广州港南沙汽车码头。在港澳加强国际联系、吸引全球人才、拓展融资渠道在内地供应链完备、应用场景多元、产业人才集聚九城两区协同共进“实验室连着生产线”不仅赋予科创更快速度更为企业开拓广阔空间工作人员在广东肇庆一家科技产业园内的总装生产线上工作。新华社记者 邓华 摄近年来香港中文大学（深圳）、香港科技大学（广州）香港城市大学（东莞）等相继成立深圳大学、中山大学等内地大学把研究机构延伸至港澳聚力引智粤港澳共建“生态圈”一张以“湾区”为名的人才网络加速形成香港中文大学（深圳）学生在图书馆内学习。在世界经济的波涛里粤港澳三地向强而立、敢为人先大力发展新技术、新产业新业态和新模式华为与新加坡国立大学携手攻关6G腾讯在荷兰设立AI实验室比亚迪与德国车企联合研发新能源电池越来越多的合作项目落地全球创新链条中大湾区正扮演着愈发核心的角色人形机器人。广州日报记者 王纳 摄激情盛会11月9日至21日大湾区将迎来一场活力的盛典——第十五届全国运动会这是粤港澳三地首次联合承办的大型体育赛事也是全运会第一次走进香港、澳门以中华白海豚为原型的十五运会和残特奥会吉祥物喜洋洋（左）、乐融融（右）。按照“广东为主、港澳优先”的原则香港承办39个小项，澳门承办14个小项广东承办366个小项汕头、湛江、清远等多个地市也参与其中突出绿色、开放的办赛理念多个场馆进行了绿色低碳建设改造场馆资源不仅满足赛事要求还将在赛后惠及广大群众广州大湾区全民文化体育中心。1961年第26届世乒赛男团决赛中出生于香港一个海员家庭的容国团吼出了“人生能有几回搏，此时不搏，更待何时！”与队友一起为中国队夺得首个世乒赛男团冠军60多年后的今天无数优秀的湾区健儿接续奋斗以拼搏守护中国荣耀诠释体育之美2024年8月6日，巴黎奥运会跳水女子10米跳台决赛，全红婵为中国代表团夺得金牌。而自强不息、拼搏不止的体育精神也在湾区人的生活点滴中体现得淋漓尽致足球、自行车等大型体育赛事活跃龙舟、醒狮等民俗体育活动风靡无不提醒着人们输赢之外，体育还有更珍贵的意义十五运会群体项目奖牌“同心跃”。奖牌上刻有“发展体育运动 增强人民体质”。今晚十五运会开幕式将在广东省奥林匹克体育中心举行让我们一起为全运健儿加油共同见证激情全运会 活力大湾区来源：人民日报微信，图片除标注外来自IC photo、视觉中国本期编辑：石磊觉得好看，请点这里↓↓↓,2025-11-09 07:14:00
